Date,IT Dep.,CostElement,Country,Budget
01-01-2020,Administration,Employee Performance,USA,87
01-02-2020,Administration,Employee Performance,USA,87
01-03-2020,Administration,Employee Performance,USA,87
01-04-2020,Administration,Employee Performance,USA,87
01-05-2020,Administration,Employee Performance,USA,87
01-06-2020,Administration,Employee Performance,USA,87
01-07-2020,Administration,Employee Performance,USA,87
01-08-2020,Administration,Employee Performance,USA,87
01-09-2020,Administration,Employee Performance,USA,87
01-10-2020,Administration,Employee Performance,USA,87
01-11-2020,Administration,Employee Performance,USA,87
01-12-2020,Administration,Employee Performance,USA,87
01-01-2020,Administration,External Labor,USA,"15,300"
01-02-2020,Administration,External Labor,USA,"15,300"
01-03-2020,Administration,External Labor,USA,"15,300"
01-04-2020,Administration,External Labor,USA,"21,900"
01-05-2020,Administration,External Labor,USA,"21,300"
01-06-2020,Administration,External Labor,USA,"21,300"
01-07-2020,Administration,External Labor,USA,"1,14,300"
01-08-2020,Administration,External Labor,USA,"1,14,300"
01-09-2020,Administration,External Labor,USA,"1,14,300"
01-10-2020,Administration,External Labor,USA,"1,20,330"
01-11-2020,Administration,External Labor,USA,"1,44,300"
01-12-2020,Administration,External Labor,USA,"1,44,300"
01-01-2020,Administration,Hardware Maintenance,USA,135
01-02-2020,Administration,Hardware Maintenance,USA,135
01-03-2020,Administration,Hardware Maintenance,USA,135
01-04-2020,Administration,Hardware Maintenance,USA,135
01-05-2020,Administration,Hardware Maintenance,USA,135
01-06-2020,Administration,Hardware Maintenance,USA,135
01-07-2020,Administration,Hardware Maintenance,USA,135
01-08-2020,Administration,Hardware Maintenance,USA,135
01-09-2020,Administration,Hardware Maintenance,USA,135
01-10-2020,Administration,Hardware Maintenance,USA,135
01-11-2020,Administration,Hardware Maintenance,USA,135
01-12-2020,Administration,Hardware Maintenance,USA,135
01-01-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-02-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-03-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-04-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-05-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-06-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-07-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-08-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-09-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-10-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-11-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-12-2020,Administration,Internal Labor,United Kingdom,"-16,369"
01-01-2020,Administration,Internal Labor,USA,"1,06,524"
01-02-2020,Administration,Internal Labor,USA,"1,27,768"
01-03-2020,Administration,Internal Labor,USA,"1,11,520"
01-04-2020,Administration,Internal Labor,USA,"1,06,811"
01-05-2020,Administration,Internal Labor,USA,"1,06,811"
01-06-2020,Administration,Internal Labor,USA,"1,06,811"
01-07-2020,Administration,Internal Labor,USA,"1,07,178"
01-08-2020,Administration,Internal Labor,USA,"1,07,178"
01-09-2020,Administration,Internal Labor,USA,"1,07,178"
01-10-2020,Administration,Internal Labor,USA,"1,08,580"
01-11-2020,Administration,Internal Labor,USA,"1,08,580"
01-12-2020,Administration,Internal Labor,USA,"1,08,623"
01-06-2020,Administration,Moving,USA,"2,400"
01-01-2020,Administration,Other,United Kingdom,"-14,833"
01-02-2020,Administration,Other,United Kingdom,"-14,833"
01-03-2020,Administration,Other,United Kingdom,"-14,833"
01-04-2020,Administration,Other,United Kingdom,"-14,833"
01-05-2020,Administration,Other,United Kingdom,"-14,833"
01-06-2020,Administration,Other,United Kingdom,"-14,833"
01-07-2020,Administration,Other,United Kingdom,"-14,833"
01-08-2020,Administration,Other,United Kingdom,"-14,833"
01-09-2020,Administration,Other,United Kingdom,"-14,833"
01-10-2020,Administration,Other,United Kingdom,"-14,833"
01-11-2020,Administration,Other,United Kingdom,"-14,833"
01-12-2020,Administration,Other,United Kingdom,"-14,833"
01-01-2020,Administration,Other,USA,"30,632"
01-02-2020,Administration,Other,USA,632
01-03-2020,Administration,Other,USA,"21,182"
01-04-2020,Administration,Other,USA,632
01-05-2020,Administration,Other,USA,632
01-06-2020,Administration,Other,USA,"21,182"
01-07-2020,Administration,Other,USA,632
01-08-2020,Administration,Other,USA,"24,632"
01-09-2020,Administration,Other,USA,"20,132"
01-10-2020,Administration,Other,USA,"1,682"
01-11-2020,Administration,Other,USA,632
01-12-2020,Administration,Other,USA,"20,132"
01-01-2020,Administration,Outbound Allocations,United Kingdom,721
01-02-2020,Administration,Outbound Allocations,United Kingdom,721
01-03-2020,Administration,Outbound Allocations,United Kingdom,721
01-04-2020,Administration,Outbound Allocations,United Kingdom,721
01-05-2020,Administration,Outbound Allocations,United Kingdom,721
01-06-2020,Administration,Outbound Allocations,United Kingdom,721
01-07-2020,Administration,Outbound Allocations,United Kingdom,721
01-08-2020,Administration,Outbound Allocations,United Kingdom,721
01-09-2020,Administration,Outbound Allocations,United Kingdom,721
01-10-2020,Administration,Outbound Allocations,United Kingdom,721
01-11-2020,Administration,Outbound Allocations,United Kingdom,721
01-12-2020,Administration,Outbound Allocations,United Kingdom,721
01-01-2020,Administration,Recognition,USA,23
01-02-2020,Administration,Recognition,USA,23
01-03-2020,Administration,Recognition,USA,23
01-04-2020,Administration,Recognition,USA,23
01-05-2020,Administration,Recognition,USA,23
01-06-2020,Administration,Recognition,USA,23
01-07-2020,Administration,Recognition,USA,23
01-08-2020,Administration,Recognition,USA,23
01-09-2020,Administration,Recognition,USA,23
01-10-2020,Administration,Recognition,USA,23
01-11-2020,Administration,Recognition,USA,23
01-12-2020,Administration,Recognition,USA,23
01-01-2020,Administration,Supplies,USA,458
01-02-2020,Administration,Supplies,USA,458
01-03-2020,Administration,Supplies,USA,458
01-04-2020,Administration,Supplies,USA,458
01-05-2020,Administration,Supplies,USA,458
01-06-2020,Administration,Supplies,USA,458
01-07-2020,Administration,Supplies,USA,458
01-08-2020,Administration,Supplies,USA,458
01-09-2020,Administration,Supplies,USA,458
01-10-2020,Administration,Supplies,USA,458
01-11-2020,Administration,Supplies,USA,458
01-12-2020,Administration,Supplies,USA,458
01-01-2020,Administration,Telecomm,USA,"3,000"
01-02-2020,Administration,Telecomm,USA,"3,000"
01-03-2020,Administration,Telecomm,USA,"3,000"
01-04-2020,Administration,Telecomm,USA,"3,000"
01-05-2020,Administration,Telecomm,USA,"3,000"
01-06-2020,Administration,Telecomm,USA,"3,000"
01-07-2020,Administration,Telecomm,USA,"3,000"
01-08-2020,Administration,Telecomm,USA,"3,000"
01-09-2020,Administration,Telecomm,USA,"3,000"
01-10-2020,Administration,Telecomm,USA,"3,000"
01-11-2020,Administration,Telecomm,USA,"3,000"
01-12-2020,Administration,Telecomm,USA,"3,000"
01-03-2020,Administration,Training,USA,"1,458"
01-04-2020,Administration,Training,USA,"1,458"
01-05-2020,Administration,Training,USA,"1,563"
01-06-2020,Administration,Training,USA,"1,563"
01-07-2020,Administration,Training,USA,"1,563"
01-08-2020,Administration,Training,USA,"1,458"
01-09-2020,Administration,Training,USA,"1,458"
01-10-2020,Administration,Training,USA,"1,458"
01-03-2020,Administration,Travel,USA,"18,750"
01-06-2020,Administration,Travel,USA,"18,750"
01-09-2020,Administration,Travel,USA,"18,750"
01-12-2020,Administration,Travel,USA,"18,750"
01-01-2020,Architecture,Depreciation,USA,693
01-02-2020,Architecture,Depreciation,USA,693
01-03-2020,Architecture,Depreciation,USA,693
01-04-2020,Architecture,Depreciation,USA,693
01-05-2020,Architecture,Depreciation,USA,693
01-06-2020,Architecture,Depreciation,USA,693
01-07-2020,Architecture,Depreciation,USA,693
01-08-2020,Architecture,Depreciation,USA,693
01-09-2020,Architecture,Depreciation,USA,693
01-10-2020,Architecture,Depreciation,USA,693
01-11-2020,Architecture,Depreciation,USA,693
01-12-2020,Architecture,Depreciation,USA,693
01-01-2020,Architecture,Employee Performance,USA,58
01-02-2020,Architecture,Employee Performance,USA,58
01-03-2020,Architecture,Employee Performance,USA,58
01-04-2020,Architecture,Employee Performance,USA,58
01-05-2020,Architecture,Employee Performance,USA,58
01-06-2020,Architecture,Employee Performance,USA,58
01-07-2020,Architecture,Employee Performance,USA,58
01-08-2020,Architecture,Employee Performance,USA,58
01-09-2020,Architecture,Employee Performance,USA,58
01-10-2020,Architecture,Employee Performance,USA,58
01-11-2020,Architecture,Employee Performance,USA,58
01-12-2020,Architecture,Employee Performance,USA,58
01-01-2020,Architecture,External Labor,USA,"1,265"
01-02-2020,Architecture,External Labor,USA,"1,265"
01-03-2020,Architecture,External Labor,USA,"1,265"
01-04-2020,Architecture,External Labor,USA,"1,265"
01-05-2020,Architecture,External Labor,USA,"1,265"
01-06-2020,Architecture,External Labor,USA,"1,265"
01-07-2020,Architecture,External Labor,USA,"1,265"
01-08-2020,Architecture,External Labor,USA,"1,265"
01-09-2020,Architecture,External Labor,USA,"1,265"
01-10-2020,Architecture,External Labor,USA,"1,265"
01-11-2020,Architecture,External Labor,USA,"1,265"
01-12-2020,Architecture,External Labor,USA,"1,265"
01-01-2020,Architecture,Hardware,USA,"1,000"
01-02-2020,Architecture,Hardware,USA,"1,000"
01-03-2020,Architecture,Hardware,USA,"1,000"
01-04-2020,Architecture,Hardware,USA,"1,000"
01-05-2020,Architecture,Hardware,USA,"1,000"
01-06-2020,Architecture,Hardware,USA,"1,000"
01-07-2020,Architecture,Hardware,USA,"1,000"
01-08-2020,Architecture,Hardware,USA,"1,000"
01-09-2020,Architecture,Hardware,USA,"1,000"
01-10-2020,Architecture,Hardware,USA,"1,000"
01-11-2020,Architecture,Hardware,USA,"1,000"
01-12-2020,Architecture,Hardware,USA,"1,000"
01-01-2020,Architecture,Hardware Maintenance,USA,15
01-02-2020,Architecture,Hardware Maintenance,USA,15
01-03-2020,Architecture,Hardware Maintenance,USA,15
01-04-2020,Architecture,Hardware Maintenance,USA,15
01-05-2020,Architecture,Hardware Maintenance,USA,15
01-06-2020,Architecture,Hardware Maintenance,USA,15
01-07-2020,Architecture,Hardware Maintenance,USA,15
01-08-2020,Architecture,Hardware Maintenance,USA,15
01-09-2020,Architecture,Hardware Maintenance,USA,15
01-10-2020,Architecture,Hardware Maintenance,USA,15
01-11-2020,Architecture,Hardware Maintenance,USA,15
01-12-2020,Architecture,Hardware Maintenance,USA,15
01-01-2020,Architecture,Internal Labor,USA,"40,259"
01-02-2020,Architecture,Internal Labor,USA,"41,063"
01-03-2020,Architecture,Internal Labor,USA,"44,855"
01-04-2020,Architecture,Internal Labor,USA,"41,232"
01-05-2020,Architecture,Internal Labor,USA,"41,232"
01-06-2020,Architecture,Internal Labor,USA,"41,232"
01-07-2020,Architecture,Internal Labor,USA,"41,300"
01-08-2020,Architecture,Internal Labor,USA,"41,149"
01-09-2020,Architecture,Internal Labor,USA,"40,889"
01-10-2020,Architecture,Internal Labor,USA,"41,325"
01-11-2020,Architecture,Internal Labor,USA,"41,192"
01-12-2020,Architecture,Internal Labor,USA,"41,184"
01-01-2020,Architecture,Other,USA,300
01-02-2020,Architecture,Other,USA,300
01-03-2020,Architecture,Other,USA,"9,675"
01-04-2020,Architecture,Other,USA,300
01-05-2020,Architecture,Other,USA,300
01-06-2020,Architecture,Other,USA,300
01-07-2020,Architecture,Other,USA,300
01-08-2020,Architecture,Other,USA,300
01-09-2020,Architecture,Other,USA,"7,050"
01-10-2020,Architecture,Other,USA,"7,050"
01-11-2020,Architecture,Other,USA,"7,050"
01-12-2020,Architecture,Other,USA,"7,050"
01-01-2020,Architecture,Recognition,USA,15
01-02-2020,Architecture,Recognition,USA,15
01-03-2020,Architecture,Recognition,USA,15
01-04-2020,Architecture,Recognition,USA,15
01-05-2020,Architecture,Recognition,USA,15
01-06-2020,Architecture,Recognition,USA,15
01-07-2020,Architecture,Recognition,USA,15
01-08-2020,Architecture,Recognition,USA,15
01-09-2020,Architecture,Recognition,USA,15
01-10-2020,Architecture,Recognition,USA,15
01-11-2020,Architecture,Recognition,USA,15
01-12-2020,Architecture,Recognition,USA,15
01-01-2020,Architecture,Software,USA,625
01-02-2020,Architecture,Software,USA,625
01-03-2020,Architecture,Software,USA,625
01-04-2020,Architecture,Software,USA,625
01-05-2020,Architecture,Software,USA,625
01-06-2020,Architecture,Software,USA,625
01-07-2020,Architecture,Software,USA,625
01-08-2020,Architecture,Software,USA,625
01-09-2020,Architecture,Software,USA,625
01-10-2020,Architecture,Software,USA,625
01-11-2020,Architecture,Software,USA,625
01-12-2020,Architecture,Software,USA,625
01-01-2020,Architecture,Supplies,USA,311
01-02-2020,Architecture,Supplies,USA,311
01-03-2020,Architecture,Supplies,USA,311
01-04-2020,Architecture,Supplies,USA,311
01-05-2020,Architecture,Supplies,USA,311
01-06-2020,Architecture,Supplies,USA,311
01-07-2020,Architecture,Supplies,USA,311
01-08-2020,Architecture,Supplies,USA,311
01-09-2020,Architecture,Supplies,USA,311
01-10-2020,Architecture,Supplies,USA,311
01-11-2020,Architecture,Supplies,USA,311
01-12-2020,Architecture,Supplies,USA,311
01-01-2020,Architecture,Taxes,USA,28
01-02-2020,Architecture,Taxes,USA,28
01-03-2020,Architecture,Taxes,USA,28
01-04-2020,Architecture,Taxes,USA,28
01-05-2020,Architecture,Taxes,USA,28
01-06-2020,Architecture,Taxes,USA,28
01-07-2020,Architecture,Taxes,USA,28
01-08-2020,Architecture,Taxes,USA,28
01-09-2020,Architecture,Taxes,USA,28
01-10-2020,Architecture,Taxes,USA,28
01-11-2020,Architecture,Taxes,USA,28
01-12-2020,Architecture,Taxes,USA,28
01-01-2020,Architecture,Telecomm,USA,768
01-02-2020,Architecture,Telecomm,USA,768
01-03-2020,Architecture,Telecomm,USA,768
01-04-2020,Architecture,Telecomm,USA,768
01-05-2020,Architecture,Telecomm,USA,768
01-06-2020,Architecture,Telecomm,USA,768
01-07-2020,Architecture,Telecomm,USA,768
01-08-2020,Architecture,Telecomm,USA,768
01-09-2020,Architecture,Telecomm,USA,768
01-10-2020,Architecture,Telecomm,USA,768
01-11-2020,Architecture,Telecomm,USA,768
01-12-2020,Architecture,Telecomm,USA,768
01-01-2020,Architecture,Training,USA,119
01-02-2020,Architecture,Training,USA,"1,347"
01-03-2020,Architecture,Training,USA,"1,347"
01-04-2020,Architecture,Training,USA,"1,347"
01-05-2020,Architecture,Training,USA,"1,347"
01-06-2020,Architecture,Training,USA,"1,347"
01-07-2020,Architecture,Training,USA,"1,347"
01-08-2020,Architecture,Training,USA,"1,347"
01-09-2020,Architecture,Training,USA,"1,347"
01-10-2020,Architecture,Training,USA,"1,347"
01-11-2020,Architecture,Training,USA,"1,347"
01-12-2020,Architecture,Training,USA,119
01-02-2020,Architecture,Travel,USA,655
01-03-2020,Architecture,Travel,USA,655
01-04-2020,Architecture,Travel,USA,655
01-05-2020,Architecture,Travel,USA,655
01-06-2020,Architecture,Travel,USA,655
01-07-2020,Architecture,Travel,USA,655
01-08-2020,Architecture,Travel,USA,655
01-09-2020,Architecture,Travel,USA,655
01-10-2020,Architecture,Travel,USA,655
01-11-2020,Architecture,Travel,USA,655
01-06-2020,Business Intelligence,Administrative,USA,"-4,200"
01-07-2020,Business Intelligence,Administrative,USA,"-4,200"
01-08-2020,Business Intelligence,Administrative,USA,"-4,200"
01-09-2020,Business Intelligence,Administrative,USA,"-4,200"
01-10-2020,Business Intelligence,Administrative,USA,"-4,200"
01-11-2020,Business Intelligence,Administrative,USA,"-4,200"
01-12-2020,Business Intelligence,Administrative,USA,"-4,200"
01-01-2020,Business Intelligence,Employee Performance,USA,101
01-02-2020,Business Intelligence,Employee Performance,USA,101
01-03-2020,Business Intelligence,Employee Performance,USA,101
01-04-2020,Business Intelligence,Employee Performance,USA,101
01-05-2020,Business Intelligence,Employee Performance,USA,101
01-06-2020,Business Intelligence,Employee Performance,USA,101
01-07-2020,Business Intelligence,Employee Performance,USA,101
01-08-2020,Business Intelligence,Employee Performance,USA,101
01-09-2020,Business Intelligence,Employee Performance,USA,101
01-10-2020,Business Intelligence,Employee Performance,USA,101
01-11-2020,Business Intelligence,Employee Performance,USA,101
01-12-2020,Business Intelligence,Employee Performance,USA,101
01-01-2020,Business Intelligence,External Labor,USA,"10,271"
01-02-2020,Business Intelligence,External Labor,USA,"10,271"
01-03-2020,Business Intelligence,External Labor,USA,"10,271"
01-04-2020,Business Intelligence,External Labor,USA,"10,271"
01-05-2020,Business Intelligence,External Labor,USA,"10,271"
01-06-2020,Business Intelligence,External Labor,USA,"15,389"
01-07-2020,Business Intelligence,External Labor,USA,"15,389"
01-08-2020,Business Intelligence,External Labor,USA,"15,389"
01-09-2020,Business Intelligence,External Labor,USA,"15,389"
01-10-2020,Business Intelligence,External Labor,USA,"15,389"
01-11-2020,Business Intelligence,External Labor,USA,"15,389"
01-12-2020,Business Intelligence,External Labor,USA,"15,389"
01-01-2020,Business Intelligence,Hardware,USA,125
01-02-2020,Business Intelligence,Hardware,USA,125
01-03-2020,Business Intelligence,Hardware,USA,125
01-04-2020,Business Intelligence,Hardware,USA,125
01-05-2020,Business Intelligence,Hardware,USA,125
01-06-2020,Business Intelligence,Hardware,USA,125
01-07-2020,Business Intelligence,Hardware,USA,125
01-08-2020,Business Intelligence,Hardware,USA,125
01-09-2020,Business Intelligence,Hardware,USA,125
01-10-2020,Business Intelligence,Hardware,USA,125
01-11-2020,Business Intelligence,Hardware,USA,125
01-12-2020,Business Intelligence,Hardware,USA,125
01-01-2020,Business Intelligence,Hardware Maintenance,USA,125
01-02-2020,Business Intelligence,Hardware Maintenance,USA,125
01-03-2020,Business Intelligence,Hardware Maintenance,USA,125
01-04-2020,Business Intelligence,Hardware Maintenance,USA,125
01-05-2020,Business Intelligence,Hardware Maintenance,USA,125
01-06-2020,Business Intelligence,Hardware Maintenance,USA,125
01-07-2020,Business Intelligence,Hardware Maintenance,USA,125
01-08-2020,Business Intelligence,Hardware Maintenance,USA,125
01-09-2020,Business Intelligence,Hardware Maintenance,USA,125
01-10-2020,Business Intelligence,Hardware Maintenance,USA,125
01-11-2020,Business Intelligence,Hardware Maintenance,USA,125
01-12-2020,Business Intelligence,Hardware Maintenance,USA,125
01-01-2020,Business Intelligence,Internal Labor,USA,"59,420"
01-02-2020,Business Intelligence,Internal Labor,USA,"60,567"
01-03-2020,Business Intelligence,Internal Labor,USA,"65,940"
01-04-2020,Business Intelligence,Internal Labor,USA,"61,026"
01-05-2020,Business Intelligence,Internal Labor,USA,"61,026"
01-06-2020,Business Intelligence,Internal Labor,USA,"61,026"
01-07-2020,Business Intelligence,Internal Labor,USA,"61,455"
01-08-2020,Business Intelligence,Internal Labor,USA,"61,451"
01-09-2020,Business Intelligence,Internal Labor,USA,"61,206"
01-10-2020,Business Intelligence,Internal Labor,USA,"62,287"
01-11-2020,Business Intelligence,Internal Labor,USA,"61,467"
01-12-2020,Business Intelligence,Internal Labor,USA,"61,322"
01-01-2020,Business Intelligence,Other,USA,50
01-02-2020,Business Intelligence,Other,USA,50
01-03-2020,Business Intelligence,Other,USA,50
01-04-2020,Business Intelligence,Other,USA,50
01-05-2020,Business Intelligence,Other,USA,50
01-06-2020,Business Intelligence,Other,USA,50
01-07-2020,Business Intelligence,Other,USA,50
01-08-2020,Business Intelligence,Other,USA,50
01-09-2020,Business Intelligence,Other,USA,50
01-10-2020,Business Intelligence,Other,USA,50
01-11-2020,Business Intelligence,Other,USA,50
01-12-2020,Business Intelligence,Other,USA,50
01-01-2020,Business Intelligence,Recognition,USA,26
